[2024-04-17 08:26:56,930]: [Main.py]: <module>: 11:       INFO:    [Started]
[2024-04-17 08:26:58,541]: [Iron_Scraper.py]: Scrap: 35:       INFO:    [Data Scaraped Successfully]
[2024-04-17 08:26:58,741]: [Iron_Scraper.py]: Scrap: 73:       INFO:    [Scrapped Data Has No Problem]
[2024-04-17 08:26:58,741]: [Iron_Scraper.py]: Scrap: 86:       INFO:    [Data Saved Successfully]
[2024-04-17 08:26:58,741]: [Iron.py]: Run: 26:       INFO:    [Scraping Phase Completed]
[2024-04-17 08:26:58,741]: [Iron_Data_Processor.py]: Data_Reader: 65:       CRITICAL:    [Scraped Data File Couldent Be Read]
[2024-04-17 08:26:58,741]: [Iron_Data_Processor.py]: Shaper: 84:       INFO:    [Data Shaped]
[2024-04-17 08:26:58,741]: [Iron_Data_Processor.py]: Process: 230:       INFO:    [Data Cleaned]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Make_Pages_Objects: 107:       INFO:    [Page Objects Has Been Made]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Make_Pages_Objects: 107:       INFO:    [Page Objects Has Been Made]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Load_Data: 124:       INFO:    [Data Has Been Load]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Load_Data: 124:       INFO:    [Data Has Been Load]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Load_positions: 144:       ERROR:    [Couldnt Load Positions]
[2024-04-17 08:26:58,742]: [Iron_Data_Processor.py]: Load_positions: 144:       ERROR:    [Couldnt Load Positions]
[2024-04-17 08:26:58,744]: [Iron_Data_Processor.py]: Make_Tagged_Images: 196:       CRITICAL:    [Couldent Make Images]
[2024-04-17 08:26:58,744]: [Iron_Data_Processor.py]: Make_Tagged_Images: 196:       CRITICAL:    [Couldent Make Images]
[2024-04-17 08:26:58,744]: [Iron_Data_Processor.py]: Make_Cover_Page: 216:       WARNING:    [Couldnt Make The Cover Image]
[2024-04-17 08:26:58,744]: [Iron.py]: Run: 29:       INFO:    [Imagination Phase Completed]
[2024-04-17 08:27:02,799]: [Phone_Scraper.py]: Scrap: 59:       INFO:    [Data Scraped]
[2024-04-17 08:27:02,800]: [Phone_Scraper.py]: Scrap: 71:       INFO:    [Scraped Data Successfully]
[2024-04-17 08:27:02,800]: [Phone.py]: Run: 26:       INFO:    [Scraping Phase Complete]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: data_reader: 33:       CRITICAL:    [Failed To Load Scraped Data File]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: filter_list: 62:       INFO:    [Persian Phrases Are deleted]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: reshape_list: 82:       ERROR:    [Failed To Reshape Data]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: separate_brands: 119:       CRITICAL:    [Couldnt Separate Brands From Each Other]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: delete_extra_spaces: 138:       INFO:    [Extra Spaces Are Deleted]
[2024-04-17 08:27:02,800]: [Phone_Data_Processor.py]: divide_and_make_images: 211:       INFO:    [Images Have Been Made]
[2024-04-17 08:27:02,800]: [Phone.py]: Run: 29:       INFO:    [Imagination Phase Complete]
[2024-04-17 08:27:02,800]: [Main.py]: <module>: 31:       INFO:    [Finished]
